WMO Region;Country;Station;Latitude;Longitude;Elevation;WMO Index
Europe;Norway;SAERHEIM;58.7605555556;5.6505555556;87;0-20000-0-01413
Europe;Spain;MADRID/C. UNIVERSITARIA;40.4516666667;-3.7241666667;664;0-20000-0-08220
Europe;Germany;LIST/SYLT;55.010989;8.412531;24.7;0-20000-0-10020
Europe;Germany;EISENACH;51.0008333333;10.3622222222;312.4;0-20000-0-10540
Europe;Macedonia (the former Yugoslav Republic of);STIP;41.75;22.1833333333;326;0-20000-0-13591
Europe;Lithuania;UKMERGE;55.2641666667;24.7602777778;72.06;0-20000-0-26634
Europe;Netherlands;HOORN-A;52.9180555556;4.1502777778;50.9;0-20000-0-06212
Europe;Azerbaijan;NABRAN;41.7833333333;48.7;-16;0-20000-0-37670
Europe;Norway;SORTLAND;68.7002777778;15.4166666667;3;0-20000-0-01167
Europe;Norway;EVANGER;60.6469444444;6.1105555556;17;0-20000-0-01315
Europe;Sweden;JUNSELE;63.6838888889;16.95;218.6;0-20000-0-02243
Europe;Iceland;GUFUSKALAR;64.9;-23.9333333333;6;0-20000-0-04104
Europe;Switzerland;SION (6802-0);46.2219444444;7.3388888889;483;0-20000-0-06802
Europe;Austria;GROEBMING;47.4466666667;13.9041666667;765.5;0-20000-0-11359
Europe;Macedonia (the former Yugoslav Republic of);POZAR-PGC;41.3;22.4166666667;1031;0-20000-0-13593
Europe;Greece;SITIA;35.2156;26.1029;114.73;0-20000-0-16757
Europe;Russian Federation;BELGOROD;50.6333333333;36.5833333333;223.46;0-20000-0-34214
Europe;Romania;BACAU;46.5577777778;26.8966666667;174;0-20000-0-15150
Europe;Bulgaria;SILISTRA;44.1166666667;27.2666666667;16;0-20000-0-15550
Europe;Italy;FROSINONE;41.645;13.2994444444;192.5;0-20000-0-16244
Europe;Turkey;MERSIN;36.8;34.6333333333;3;0-20000-0-17340
Europe;Greenland;TUNU-N;78.0163888889;-33.9833333333;2009;0-20000-0-04425
Europe;Sweden;VASTMARKUM;63.1252777778;18.2555555556;141.5;0-20000-0-02260
Europe;Finland;HANKO TVARMINNE;59.8438888889;23.2483333333;3;0-20000-0-02750
Europe;United Kingdom (the);PRESTWICK, GANNET;55.5152777778;-4.5847222222;19.8;0-20000-0-03136
Europe;Austria;REICHENAU/RAX;47.6997222222;15.8369444444;488.1;0-20000-0-11380
Europe;Italy;TORRE OLEVOLA;41.2508333333;13.1186111111;2;0-20000-0-16249
Europe;Spain;CACERES (8261-0);39.4713888889;-6.3388888889;394;0-20000-0-08261
Europe;Albania;PESHKOPI;41.6833333333;20.4333333333;657;0-20000-0-13619
Europe;Turkey;CARSAMBA/SAMSUN;41.25;36.55;5;0-20000-0-17031
Europe;Ukraine;KRASNOHRAD;49.3833333333;35.45;158;0-20000-0-34401
Europe;Azerbaijan;QABALA;40.9833333333;47.8666666667;679;0-20000-0-37740
Europe;Italy;LATINA (16247-0);41.5447222222;12.9105555556;25;0-20000-0-16247
Europe;Turkey;ADANA/BOLGE;36.9833333333;35.35;27;0-20000-0-17351
Europe;Norway;STAVANGER VAALAND;58.9569444444;5.73;72;0-20000-0-01416
Europe;Greenland;SUMMIT (4416-0);72.5833333333;-38.45;3202;0-20000-0-04416
Europe;Switzerland;MAGADINO;46.1658333333;8.8822222222;198;0-20000-0-06808
Europe;Lebanon;MERDJAYOUN;33.3666666667;35.5833333333;null;0-20000-0-40104
Europe;Ukraine;BOHODUKHIV;50.2;35.5333333333;202;0-20000-0-34302
Europe;Sweden;RENSJON;68.0747222222;19.8394444444;493.51;0-20000-0-02031
Europe;Sweden;ASELE;64.1661111111;17.3188888889;307.37;0-20000-0-02254
Europe;Finland;HYVINKAA HYVINKAANKYLA;60.5958333333;24.8030555556;86;0-20000-0-02829
Europe;Netherlands;VLIELAND;53.24;4.9208333333;10.79;0-20000-0-06242
Europe;Ukraine;VELYKYI BURLUK;50.0666666667;37.3833333333;174;0-20000-0-34312
Europe;France;GOURDON;44.745;1.3966666667;260;0-20000-0-07535
Europe;Slovenia;VOJSKO;46.0249596201;13.9031141269;1067;0-20000-0-14009
Europe;Bulgaria;BOTEV VRAH (TOP/SOMMET);42.6666666667;24.8333333333;2384;0-20000-0-15627
Europe;Italy;PONZA;40.9119444444;12.9569444444;184;0-20000-0-16280
Europe;Norway;KVAMSOY;60.3577777778;6.2747222222;49;0-20000-0-01329
Europe;United Kingdom (the);CHARTERHALL;55.7086111111;-2.3847222222;112;0-20000-0-03158
Europe;Greenland;SADDLE;65.9994444444;-44.5008333333;2466.3;0-20000-0-04485
Europe;Poland;RZESZOW-JASIONKA;50.1113888889;22.02;211.48;0-20000-0-12580
Europe;Armenia;ARMAVIR (37787-0);40.1361111111;43.9033333333;null;0-20000-0-37787
Europe;Armenia;YEREVAN ZVARTNOTS;40.1513888889;44.4038888889;null;0-20000-0-37788
Europe;Jordan;QATRANEH;31.25;36.1166666667;null;0-20000-0-40275
Europe;Switzerland;LACHEN/GALGENEN;47.1791666667;8.8586111111;468;0-20000-0-06665
Europe;Germany;GEISENHEIM;49.985931;7.954853;110.2;0-20000-0-10628
Europe;Bulgaria;CHIRPAN;42.2;25.3333333333;173;0-20000-0-15635
Europe;United Kingdom (the);WATTISHAM;52.1238888889;0.9575;86.3;0-20000-0-03590
Europe;Switzerland;BRIENZ;46.7408333333;8.0608333333;567.15;0-20000-0-06656
Europe;Germany;MARIENBERG;50.6511111111;13.1469444444;639;0-20000-0-10579
Europe;Bulgaria;KUSTENDIL;42.2666666667;22.7666666667;522;0-20000-0-15601
Europe;Ukraine;HUBYNYKHA;48.8;35.25;127;0-20000-0-34407
Europe;Azerbaijan;MINGACHEVIR;40.7666666667;47.05;93;0-20000-0-37744
Europe;Palestine, State of;JENIN;32.4666666667;35.3;null;0-20000-0-40226
Europe;Switzerland;PFAEFERS;46.9747222222;9.5022222222;1490;0-20000-0-06848
Europe;France;BOURG ST-MAURICE;45.6127777778;6.7633333333;865;0-20000-0-07497
Europe;Bulgaria;DRAGOMAN;42.9333333333;22.9333333333;714;0-20000-0-15605
Europe;Norway;SAUDA;59.6486111111;6.3630555556;5;0-20000-0-01424
Europe;Sweden;SKEPPMORA;60.1227777778;15.1227777778;240;0-20000-0-02472
Europe;Germany;LEUCHTTURM ALTE WESER;53.8616666667;8.1266666667;32;0-20000-0-10124
Europe;Albania;GJIROKASTRA;40.0833333333;20.15;193;0-20000-0-13625
Europe;Azerbaijan;ISMAILLY;40.7833333333;48.1333333333;549;0-20000-0-37750
Europe;Germany;NEUHEILENBACH (RADAR);50.1097222222;6.5483333333;550.9;0-20000-0-10605
Europe;Belarus;KOSTUCKOVICHI;53.3586111111;32.0711111111;null;0-20000-0-26887
Europe;Norway;MODALEN III;60.8561111111;5.9730555556;125;0-20000-0-01326
Europe;Sweden;FLODA;59.0563888889;16.3977777778;31.8;0-20000-0-02476
Europe;Netherlands;LEEUWARDEN;53.2230555556;5.7516666667;1.22;0-20000-0-06270
Europe;Switzerland;ZUERICH / FLUNTERN;47.3780555556;8.5658333333;555.95;0-20000-0-06660
Europe;Italy;VIESTE;41.8880555556;16.1647222222;3;0-20000-0-16266
Europe;Azerbaijan;SUMGAIT;40.6;49.6333333333;-20;0-20000-0-37769
Europe;Spain;CASTELLON-ALMAZORA;39.9572222222;-0.0719444444;42.9;0-20000-0-08286
Europe;Jordan;RAS MUNEEF;32.3666666667;35.75;null;0-20000-0-40257
Europe;Finland;INARI NELLIM;68.8491666667;28.2994444444;121;0-20000-0-02835
Europe;United Kingdom (the);MUMBLES HEAD;51.5655555556;-3.9816666667;43;0-20000-0-03609
Europe;Switzerland;SATTEL-AEGERI;47.0811111111;8.6369444444;790.1;0-20000-0-06662
Europe;Austria;HARTBERG;47.2805555556;15.9786111111;329.6;0-20000-0-11390
Europe;United Kingdom (the);CHIVENOR;51.0891666667;-4.1486111111;8;0-20000-0-03707
Europe;Hungary;PAPA;47.2;17.5;145;0-20000-0-12825
Europe;Russian Federation;NOLINSK;57.55;49.95;136.62;0-20000-0-27393
Europe;Switzerland;GLARUS;47.0347222222;9.0669444444;516.62;0-20000-0-06685
Europe;Russian Federation;DUBNA;56.74;37.25;118;0-20000-0-27415
Europe;Sweden;SODERARM;59.7536111111;19.4088888889;14.83;0-20000-0-02493
Europe;Finland;PUOLANKA PALJAKKA;64.6641666667;28.0566666667;341;0-20000-0-02859
Europe;Denmark;HORNS REV B;55.5994444444;7.6225;26;0-20000-0-06017
Europe;France;CAEN-CARPIQUET;49.18;-0.4561111111;78;0-20000-0-07027
Europe;Germany;BREMEN;53.0463888889;8.7994444444;4;0-20000-0-10224
Europe;Italy;TARVISIO;46.5055555556;13.5861111111;777;0-20000-0-16040
Europe;Norway;ROLDALSFJELLET;59.8313888889;6.7330555556;1010;0-20000-0-01429
Europe;Ireland;CONNAUGHT AIRPORT;53.9;-8.8166666667;203;0-20000-0-03973
Europe;Greenland;NASA-SE;66.475;-42.4986111111;2405.7;0-20000-0-04488
Europe;Azerbaijan;LACHIN;39.65;46.5333333333;1094;0-20000-0-37898
Europe;France;CAP-DE-LA HEVE;49.5088888889;0.0711111111;100;0-20000-0-07028
Europe;Italy;LAMEZIA TERME;38.9083333333;16.2416666667;12;0-20000-0-16362
Europe;Azerbaijan;KHOJAVAND;39.7833333333;47.1;414;0-20000-0-37901
Europe;Russian Federation;MINERAL'NYE VODY (37055-1);44.2166666667;43.1;null;0-20001-0-37055
Europe;Russian Federation;CERNYJ JAR;48.0666666667;46.1166666667;4.49;0-20000-0-34578
Europe;Jordan;JERUSALEM AIRPORT;31.8666666667;35.2166666667;749;0-20000-0-40290
Europe;Bulgaria;ELHOVO;42.1833333333;26.5666666667;138;0-20000-0-15642
Europe;Turkey;KUMKOY;41.25;29.0333333333;30;0-20000-0-17059
